	timeid	src	dst	delay	packetloss	link_usage	free_bandwidth
0	0	19	20		4.0	0.0	0.0
1	0	20	19		4.0	0.0	0.0
2	0	8	2		3.0	0.0	0.0
3	0	2	8		3.0	0.0	0.0
4	0	4	1		2.0	0.0	0.0
5	0	4	3		1.0	0.0	0.0
6	0	3	4		1.0	0.0	0.0
7	0	7	1		3.0	0.0	0.0
8	0	7	5		0.0	0.0	0.0
9	0	9	6		4.0	0.0	0.0
10	0	6	5		0.0	0.0	0.0
11	0	6	9		4.0	0.0	0.0
12	0	5	7		0.0	0.0	0.0
13	0	5	6		0.0	0.0	0.0
14	0	1	4		2.0	0.0	0.0
15	0	1	7		3.0	0.0	0.0
16	1	19	20	23.992180824279785	4.0	0.0	0.0
17	1	20	19		4.0	0.0	0.0
18	1	8	2		3.0	0.0	0.0
19	1	2	8		3.0	0.0	0.0
20	1	4	1		2.0	0.0	0.0
21	1	4	3		1.0	0.0	0.0
22	1	3	4		1.0	0.0	0.0
23	1	7	1		3.0	0.0	0.0
24	1	7	5		0.0	0.0	0.0
25	1	9	6		4.0	0.0	0.0
26	1	6	5		0.0	0.0	0.0
27	1	6	9		4.0	0.0	0.0
28	1	5	7		0.0	0.0	0.0
29	1	5	6		0.0	0.0	0.0
30	1	1	4		2.0	0.0	0.0
31	1	1	7		3.0	0.0	0.0
32	2	19	20	49.9112606048584	4.0	0.0014026666666666666	0.0024183908045977013
33	2	20	19	49.9112606048584	4.0	0.0014026666666666666	0.0024183908045977013
34	2	8	2	34.4090461730957	3.0	0.0005066666666666666	0.0006666666666666665
35	2	2	8	34.4090461730957	3.0	0.0005066666666666666	0.0006666666666666665
36	2	4	1	28.817296028137207	2.0	0.0005066666666666667	0.0006846846846846847
37	2	4	3	52.81221866607666	1.0	0.00034666666666666667	0.0004126984126984127
38	2	3	4	52.81221866607666	1.0	0.00034666666666666667	0.0004126984126984127
39	2	7	1	16.570568084716797	3.0	0.0005333333333333334	0.0009876543209876543
40	2	7	5	26.552200317382812	0.0	0.00034666666666666667	0.0004227642276422764
41	2	9	6	49.774765968322754	4.0	0.0005066666666666667	0.0007342995169082125
42	2	6	5	31.503915786743164	0.0	0.00032	0.00064
43	2	6	9	49.774765968322754	4.0	0.0005066666666666667	0.0007342995169082125
44	2	5	7	26.552200317382812	0.0	0.00034666666666666667	0.0004227642276422764
45	2	5	6	31.503915786743164	0.0	0.00032	0.00064
46	2	1	4	28.817296028137207	2.0	0.0005066666666666667	0.0006846846846846847
47	2	1	7	16.570568084716797	3.0	0.0005333333333333334	0.0009876543209876543
48	3	19	20	41.54670238494873	4.0	0.0003198933688770409	0.0005515402911673119
49	3	20	19	41.54670238494873	4.0	0.0003198933688770409	0.0005515402911673119
50	3	8	2	33.5845947265625	3.0	0.0015888037320893034	0.002090531226433294
51	3	2	8	33.5845947265625	3.0	0.0015888037320893034	0.002090531226433294
52	3	4	1	28.58424186706543	2.0	0.0014021992669110295	0.001894863874204094
53	3	4	3	50.530076026916504	1.0	0.0015888037320893034	0.0018914330143920278
54	3	3	4	50.530076026916504	1.0	0.0015888037320893034	0.0018914330143920278
55	3	7	1	16.536593437194824	3.0	0.00140219926691103	0.0025966653090945
56	3	7	5	26.590466499328613	0.0	0.0005064978340553149	0.0006176802854333109
57	3	9	6	41.554927825927734	4.0	0.0003465511496167945	0.0005022480429228906
58	3	6	5	31.548738479614258	0.0	0.0005331556147950682	0.0010663112295901363
59	3	6	9	41.554927825927734	4.0	0.0003465511496167945	0.0005022480429228906
60	3	5	7	26.590466499328613	0.0	0.0005064978340553149	0.0006176802854333109
61	3	5	6	31.548738479614258	0.0	0.0005331556147950682	0.0010663112295901363
62	3	1	4	28.58424186706543	2.0	0.0014021992669110295	0.001894863874204094
63	3	1	7	16.536593437194824	3.0	0.00140219926691103	0.0025966653090945
64	4	19	20	41.54670238494873	4.0	0.0006926406926406925	0.0011942080907598146
65	4	20	19	41.54670238494873	4.0	0.0006926406926406925	0.0011942080907598146
66	4	8	2	33.5845947265625	3.0	0.0003197868087941372	0.0004207721168343911
67	4	2	8	33.5845947265625	3.0	0.0003197868087941372	0.0004207721168343911
68	4	4	1	28.58424186706543	2.0	0.00015989340439706868	0.00021607216810414688
69	4	4	3	50.530076026916504	1.0	0.0001598934043970686	0.0001903492909488912
70	4	3	4	50.530076026916504	1.0	0.0001598934043970686	0.0001903492909488912
71	4	7	1	16.536593437194824	3.0	0.0003197868087941372	0.000592197794063217
72	4	7	5	26.590466499328613	0.0	0.0014017321785476347	0.0017094294860337009
73	4	9	6	41.554927825927734	4.0	0.0014036024016010676	0.002034206379131982
74	4	6	5	31.548738479614258	0.0	0.0014017321785476354	0.0028034643570952708
75	4	6	9	41.554927825927734	4.0	0.0014036024016010676	0.002034206379131982
76	4	5	7	26.590466499328613	0.0	0.0014017321785476347	0.0017094294860337009
77	4	5	6	31.548738479614258	0.0	0.0014017321785476354	0.0028034643570952708
78	4	1	4	28.58424186706543	2.0	0.00015989340439706868	0.00021607216810414688
79	4	1	7	16.536593437194824	3.0	0.0003197868087941372	0.000592197794063217
80	5	19	20	41.486382484436035	4.0	0.0012426666666666667	0.002142528735632184
81	5	20	19	41.486382484436035	4.0	0.0012426666666666667	0.002142528735632184
82	5	8	2	33.47885608673096	3.0	0.00016	0.0002105263157894737
83	5	2	8	33.47885608673096	3.0	0.00016	0.0002105263157894737
84	5	4	1	28.498053550720215	2.0	0.0001597337770382695	0.00021585645545712097
85	5	4	3	50.6516695022583	1.0	0.0003194675540765392	0.00038031851675778477
86	5	3	4	50.6516695022583	1.0	0.0003194675540765392	0.00038031851675778477
87	5	7	1	16.53468608856201	3.0	0.000319467554076539	0.0005916065816232205
88	5	7	5	26.330947875976562	0.0	0.00016	0.0001951219512195122
89	5	9	6	41.51296615600586	4.0	0.00015968063872255487	0.00023142121553993458
90	5	6	5	31.313061714172363	0.0	0.00015968063872255487	0.00031936127744510974
91	5	6	9	41.51296615600586	4.0	0.00015968063872255487	0.00023142121553993458
92	5	5	7	26.330947875976562	0.0	0.00016	0.0001951219512195122
93	5	5	6	31.313061714172363	0.0	0.00015968063872255487	0.00031936127744510974
94	5	1	4	28.498053550720215	2.0	0.0001597337770382695	0.00021585645545712097
95	5	1	7	16.53468608856201	3.0	0.000319467554076539	0.0005916065816232205
96	6	19	20	41.55778884887695	4.0	0.0001599466844385205	0.000275770145583656
97	6	20	19	41.55778884887695	4.0	0.0001599466844385205	0.000275770145583656
98	6	8	2	33.73384475708008	3.0	0.00015994668443852043	0.00021045616373489533
99	6	2	8	33.73384475708008	3.0	0.00015994668443852043	0.00021045616373489533
100	6	4	1	28.582453727722168	2.0	0.0005064978340553147	0.000684456532507182
101	6	4	3	50.58789253234863	1.0	0.000319893368877041	0.00038082543913933454
102	6	3	4	50.58789253234863	1.0	0.000319893368877041	0.00038082543913933454
103	6	7	1	16.57712459564209	3.0	0.00015994668443852043	0.0002961975637750378
104	6	7	5	27.268171310424805	0.0	0.00031989336887704086	0.0003901138644841962
