	timeid	src	dst	delay	packetloss	link_usage	free_bandwidth
0	0	5	6		0.0	0.0	0.0
1	0	5	7		0.0	0.0	0.0
2	0	6	5		0.0	0.0	0.0
3	0	6	9		3.0	0.0	0.0
4	0	1	4		4.0	0.0	0.0
5	0	1	7		4.0	0.0	0.0
6	0	9	6		3.0	0.0	0.0
7	0	19	20		1.0	0.0	0.0
8	0	7	1		4.0	0.0	0.0
9	0	7	5		0.0	0.0	0.0
10	0	2	8		1.0	0.0	0.0
11	0	20	19		1.0	0.0	0.0
12	0	4	1		4.0	0.0	0.0
13	0	4	3		2.0	0.0	0.0
14	0	3	4		2.0	0.0	0.0
15	0	8	2		1.0	0.0	0.0
16	1	5	6		0.0	0.0	0.0
17	1	5	7		0.0	0.0	0.0
18	1	6	5		0.0	0.0	0.0
19	1	6	9		3.0	0.0	0.0
20	1	1	4		4.0	0.0	0.0
21	1	1	7		4.0	0.0	0.0
22	1	9	6		3.0	0.0	0.0
23	1	19	20		1.0	0.0	0.0
24	1	7	1		4.0	0.0	0.0
25	1	7	5		0.0	0.0	0.0
26	1	2	8		1.0	0.0	0.0
27	1	20	19		1.0	0.0	0.0
28	1	4	1		4.0	0.0	0.0
29	1	4	3		2.0	0.0	0.0
30	1	3	4		2.0	0.0	0.0
31	1	8	2		1.0	0.0	0.0
32	2	5	6		0.0	0.0006931022992335889	0.0008773446825741632
33	2	5	7		0.0	0.0005064978340553149	0.0009379589519542868
34	2	6	5		0.0	0.0006931022992335889	0.0008773446825741632
35	2	6	9		3.0	0.00031989336887704097	0.0003515311745901549
36	2	1	4		4.0	0.0007914723517654898	0.001055296469020653
37	2	1	7		4.0	0.0009783405531489503	0.0011509888860575886
38	2	9	6		3.0	0.00031989336887704097	0.0003515311745901549
39	2	19	20		1.0	0.0007304231922692435	0.001141286237920693
40	2	7	1		4.0	0.0009783405531489503	0.0011509888860575886
41	2	7	5		0.0	0.0005064978340553149	0.0009379589519542868
42	2	2	8		1.0	0.0003465511496167944	0.0005414861712762412
43	2	20	19		1.0	0.0007304231922692435	0.001141286237920693
44	2	4	1		4.0	0.0007914723517654898	0.001055296469020653
45	2	4	3		2.0	0.0005331556147950683	0.0007404939094375947
46	2	3	4		2.0	0.0005331556147950683	0.0007404939094375947
47	2	8	2		1.0	0.0003465511496167944	0.0005414861712762412
48	3	5	6	12.5732421875	0.0	0.00031999999999999986	0.00040506329113924037
49	3	5	7	42.781829833984375	0.0	0.0003466666666666667	0.0006419753086419754
50	3	6	5	12.5732421875	0.0	0.00031999999999999986	0.00040506329113924037
51	3	6	9	45.539140701293945	3.0	0.0005331556147950683	0.0005858852909835915
52	3	1	4	27.88519859313965	4.0	0.0006053333333333332	0.0008071111111111109
53	3	1	7	33.73599052429199	4.0	0.0006051316227924025	0.0007119195562263559
54	3	9	6	45.539140701293945	3.0	0.0005331556147950683	0.0005858852909835915
55	3	19	20	15.542149543762207	1.0	0.000319893368877041	0.0004998333888703766
56	3	7	1	33.73599052429199	4.0	0.0006051316227924025	0.0007119195562263559
57	3	7	5	42.781829833984375	0.0	0.0003466666666666667	0.0006419753086419754
58	3	2	8	46.55814170837402	1.0	0.0007306666666666669	0.0011416666666666671
59	3	20	19	15.542149543762207	1.0	0.000319893368877041	0.0004998333888703766
60	3	4	1	27.88519859313965	4.0	0.0006053333333333332	0.0008071111111111109
61	3	4	3	49.712419509887695	2.0	0.0007306666666666664	0.0010148148148148145
62	3	3	4	49.712419509887695	2.0	0.0007306666666666664	0.0010148148148148145
63	3	8	2	46.55814170837402	1.0	0.0007306666666666669	0.0011416666666666671
64	4	5	6	12.5732421875	0.0	0.0008903698767077642	0.0011270504768452713
65	4	5	7	42.781829833984375	0.0	0.0008906666666666667	0.0016493827160493826
66	4	6	5	12.5732421875	0.0	0.0008903698767077642	0.0011270504768452713
67	4	6	9	45.539140701293945	3.0	0.0008906666666666667	0.0009787545787545788
68	4	1	4	27.88519859313965	4.0	0.00016	0.00021333333333333333
69	4	1	7	33.73599052429199	4.0	0.00016	0.00018823529411764707
70	4	9	6	45.539140701293945	3.0	0.0008906666666666667	0.0009787545787545788
71	4	19	20	15.542149543762207	1.0	0.0006933333333333333	0.0010833333333333333
72	4	7	1	33.73599052429199	4.0	0.00016	0.00018823529411764707
73	4	7	5	42.781829833984375	0.0	0.0008906666666666667	0.0016493827160493826
74	4	2	8	46.55814170837402	1.0	0.00031989336887704086	0.0004998333888703763
75	4	20	19	15.542149543762207	1.0	0.0006933333333333333	0.0010833333333333333
76	4	4	1	27.88519859313965	4.0	0.00016	0.00021333333333333333
77	4	4	3	49.712419509887695	2.0	0.00032	0.0004444444444444445
78	4	3	4	49.712419509887695	2.0	0.00032	0.0004444444444444445
79	4	8	2	46.55814170837402	1.0	0.00031989336887704086	0.0004998333888703763
80	5	5	6	11.845707893371582	0.0	0.0	0.0
81	5	5	7	43.03848743438721	0.0	0.0001598934043970686	0.0002960988970316085
82	5	6	5	11.845707893371582	0.0	0.0	0.0
83	5	6	9	45.046091079711914	3.0	0.00031989336887704086	0.00035153117459015476
84	5	1	4	27.44448184967041	4.0	0.0003197868087941372	0.00042638241172551625
85	5	1	7	33.678293228149414	4.0	0.00031978680879413737	0.0003762197750519263
86	5	9	6	45.046091079711914	3.0	0.00031989336887704086	0.00035153117459015476
87	5	19	20	15.688419342041016	1.0	0.0007304231922692433	0.0011412862379206927
88	5	7	1	33.678293228149414	4.0	0.00031978680879413737	0.0003762197750519263
89	5	7	5	43.03848743438721	0.0	0.0001598934043970686	0.0002960988970316085
90	5	2	8	47.19388484954834	1.0	0.0003197868087941372	0.0004996668887408393
91	5	20	19	15.688419342041016	1.0	0.0007304231922692433	0.0011412862379206927
92	5	4	1	27.44448184967041	4.0	0.0003197868087941372	0.00042638241172551625
93	5	4	3	49.982309341430664	2.0	0.00031978680879413737	0.00044414834554741306
94	5	3	4	49.982309341430664	2.0	0.00031978680879413737	0.00044414834554741306
95	5	8	2	47.19388484954834	1.0	0.0003197868087941372	0.0004996668887408393
96	6	5	6	12.64941692352295	0.0	0.0003197868087941372	0.00040479342885333823
97	6	5	7	43.08938980102539	0.0	0.00031978680879413737	0.0005921977940632173
98	6	6	5	12.64941692352295	0.0	0.0003197868087941372	0.00040479342885333823
99	6	6	9	45.95625400543213	3.0	0.0001598934043970686	0.00017570703779897648
100	6	1	4	27.88984775543213	4.0	0.0003464357095269821	0.0004619142793693095
101	6	1	7	33.92469882965088	4.0	0.00015994668443852043	0.0001881725699276711
102	6	9	6	45.95625400543213	3.0	0.0001598934043970686	0.00017570703779897648
103	6	19	20	15.973925590515137	1.0	0.00031978680879413693	0.0004996668887408389
104	6	7	1	33.92469882965088	4.0	0.00015994668443852043	0.0001881725699276711
105	6	7	5	43.08938980102539	0.0	0.00031978680879413737	0.0005921977940632173
106	6	2	8	46.726346015930176	1.0	0.0005063291139240506	0.000791139240506329
107	6	20	19	15.973925590515137	1.0	0.00031978680879413693	0.0004996668887408389
108	6	4	1	27.88984775543213	4.0	0.0003464357095269821	0.0004619142793693095
109	6	4	3	49.826622009277344	2.0	0.0003197868087941372	0.0004441483455474128
110	6	3	4	49.826622009277344	2.0	0.0003197868087941372	0.0004441483455474128
111	6	8	2	46.726346015930176	1.0	0.0005063291139240506	0.000791139240506329
112	7	5	6	12.812376022338867	0.0	0.0005064978340553147	0.0006411364988041958
113	7	5	7	42.91033744812012	0.0	0.0005064978340553147	0.0009379589519542865
114	7	6	5	12.812376022338867	0.0	0.0005064978340553147	0.0006411364988041958
115	7	6	9	45.74990272521973	3.0	0.0003198933688770412	0.00035153117459015514
116	7	1	4	27.50563621520996	4.0	0.0003198933688770412	0.00042652449183605486
117	7	1	7	33.76507759094238	4.0	0.0005064978340553147	0.0005958798047709584
118	7	9	6	45.74990272521973	3.0	0.0003198933688770412	0.00035153117459015514
119	7	19	20	15.919089317321777	1.0	0.0001599466844385206	0.00024991669443518843
120	7	7	1	33.76507759094238	4.0	0.0005064978340553147	0.0005958798047709584
121	7	7	5	42.91033744812012	0.0	0.0005064978340553147	0.0009379589519542865
122	7	2	8	46.88000679016113	1.0	0.0005064978340553147	0.0007914028657114292
123	7	20	19	15.919089317321777	1.0	0.0001599466844385206	0.00024991669443518843
124	7	4	1	27.50563621520996	4.0	0.0003198933688770412	0.00042652449183605486
125	7	4	3	50.00638961791992	2.0	0.00034655114961679466	0.00048132104113443705
126	7	3	4	50.00638961791992	2.0	0.00034655114961679466	0.00048132104113443705
127	7	8	2	46.88000679016113	1.0	0.0005064978340553147	0.0007914028657114292
128	8	5	6	12.812376022338867	0.0	0.0005064978340553147	0.0006411364988041958
129	8	5	7	42.91033744812012	0.0	0.0005064978340553147	0.0009379589519542865
130	8	6	5	12.812376022338867	0.0	0.0005064978340553147	0.0006411364988041958
131	8	6	9	45.74990272521973	3.0	0.0005064978340553147	0.0005565910264344118
132	8	1	4	27.50563621520996	4.0	0.0010769743418860376	0.0014359657891813834
133	8	1	7	33.76507759094238	4.0	0.0010769743418860376	0.0012670286375129854
134	8	9	6	45.74990272521973	3.0	0.0005064978340553147	0.0005565910264344118
135	8	19	20	15.919089317321777	1.0	0.00032	0.0005
136	8	7	1	33.76507759094238	4.0	0.0010769743418860376	0.0012670286375129854
137	8	7	5	42.91033744812012	0.0	0.0005064978340553147	0.0009379589519542865
138	8	2	8	46.88000679016113	1.0	0.0007304231922692442	0.001141286237920694
139	8	20	19	15.919089317321777	1.0	0.00032	0.0005
140	8	4	1	27.50563621520996	4.0	0.0010769743418860376	0.0014359657891813834
141	8	4	3	50.00638961791992	2.0	0.0003465511496167942	0.00048132104113443646
142	8	3	4	50.00638961791992	2.0	0.0003465511496167942	0.00048132104113443646
143	8	8	2	46.88000679016113	1.0	0.0007304231922692442	0.001141286237920694
144	9	5	6	12.334227561950684	0.0	0.0008900732844770157	0.0011266750436417922
145	9	5	7	42.792558670043945	0.0	0.0007304231922692433	0.0013526355412393394
146	9	6	5	12.334227561950684	0.0	0.0008900732844770157	0.0011266750436417922
147	9	6	9	45.58968544006348	3.0	0.0009167221852098594	0.0010073870167141312
148	9	1	4	27.423977851867676	4.0	0.00031989336887704086	0.0004265244918360545
149	9	1	7	33.683180809020996	4.0	0.00015994668443852043	0.0001881725699276711
150	9	9	6	45.58968544006348	3.0	0.0009167221852098594	0.0010073870167141312
151	9	19	20	14.376997947692871	1.0	0.0006928714190539635	0.001082611592271818
152	9	7	1	33.683180809020996	4.0	0.00015994668443852043	0.0001881725699276711
153	9	7	5	42.792558670043945	0.0	0.0007304231922692433	0.0013526355412393394
154	9	2	8	46.68068885803223	1.0	0.00015989340439706847	0.00024983344437041945
155	9	20	19	14.376997947692871	1.0	0.0006928714190539635	0.001082611592271818
156	9	4	1	27.423977851867676	4.0	0.00031989336887704086	0.0004265244918360545
157	9	4	3	52.80101299285889	2.0	0.0008900732844770157	0.0012362128951069664
158	9	3	4	52.80101299285889	2.0	0.0008900732844770157	0.0012362128951069664
159	9	8	2	46.68068885803223	1.0	0.00015989340439706847	0.00024983344437041945
160	10	5	6	13.546466827392578	0.0	0.00015994668443852043	0.00020246415751711444
161	10	5	7	42.59824752807617	0.0	0.00031978680879413737	0.0005921977940632173
162	10	6	5	13.546466827392578	0.0	0.00015994668443852043	0.00020246415751711444
163	10	6	9	45.69113254547119	3.0	0.00031989336887704086	0.00035153117459015476
164	10	1	4	27.363896369934082	4.0	0.00015989340439706868	0.00021319120586275826
165	10	1	7	33.55908393859863	4.0	0.00031978680879413693	0.0003762197750519258
166	10	9	6	45.69113254547119	3.0	0.00031989336887704086	0.00035153117459015476
167	10	19	20	15.760421752929688	1.0	0.0007304231922692442	0.001141286237920694
168	10	7	1	33.55908393859863	4.0	0.00031978680879413693	0.0003762197750519258
169	10	7	5	42.59824752807617	0.0	0.00031978680879413737	0.0005921977940632173
170	10	2	8	46.82266712188721	1.0	0.00031989336887704086	0.0004998333888703763
171	10	20	19	15.760421752929688	1.0	0.0007304231922692442	0.001141286237920694
172	10	4	1	27.363896369934082	4.0	0.00015989340439706868	0.00021319120586275826
173	10	4	3	49.4081974029541	2.0	0.00031978680879413737	0.00044414834554741306
174	10	3	4	49.4081974029541	2.0	0.00031978680879413737	0.00044414834554741306
175	10	8	2	46.82266712188721	1.0	0.00031989336887704086	0.0004998333888703763
176	11	5	6	12.485384941101074	0.0	0.00015994668443852043	0.00020246415751711444
177	11	5	7	42.99139976501465	0.0	0.00015989340439706847	0.0002960988970316083
178	11	6	5	12.485384941101074	0.0	0.00015994668443852043	0.00020246415751711444
179	11	6	9	45.67229747772217	3.0	0.00031989336887704086	0.00035153117459015476
180	11	1	4	27.795910835266113	4.0	0.00031989336887704086	0.0004265244918360545
181	11	1	7	33.757567405700684	4.0	0.00031989336887704086	0.0003763451398553422
182	11	9	6	45.67229747772217	3.0	0.00031989336887704086	0.00035153117459015476
183	11	19	20	15.905976295471191	1.0	0.00031989336887704086	0.0004998333888703763
184	11	7	1	33.757567405700684	4.0	0.00031989336887704086	0.0003763451398553422
185	11	7	5	42.99139976501465	0.0	0.00015989340439706847	0.0002960988970316083
186	11	2	8	47.00648784637451	1.0	0.00031978680879413737	0.0004996668887408397
187	11	20	19	15.905976295471191	1.0	0.00031989336887704086	0.0004998333888703763
188	11	4	1	27.795910835266113	4.0	0.00031989336887704086	0.0004265244918360545
189	11	4	3	50.25053024291992	2.0	0.0003198933688770412	0.00044429634566255723
190	11	3	4	50.25053024291992	2.0	0.0003198933688770412	0.00044429634566255723
191	11	8	2	47.00648784637451	1.0	0.00031978680879413737	0.0004996668887408397
192	12	5	6	12.485384941101074	0.0	0.0003198933688770405	0.00040492831503422845
193	12	5	7	42.99139976501465	0.0	0.00032	0.0005925925925925927
194	12	6	5	12.485384941101074	0.0	0.0003198933688770405	0.00040492831503422845
195	12	6	9	45.67229747772217	3.0	0.00015994668443852024	0.0001757655872950772
196	12	1	4	27.795910835266113	4.0	0.00016	0.00021333333333333333
197	12	1	7	33.757567405700684	4.0	0.00016	0.00018823529411764707
198	12	9	6	45.67229747772217	3.0	0.00015994668443852024	0.0001757655872950772
199	12	19	20	15.905976295471191	1.0	0.0003198933688770405	0.0004998333888703758
200	12	7	1	33.757567405700684	4.0	0.00016	0.00018823529411764707
201	12	7	5	42.99139976501465	0.0	0.00032	0.0005925925925925927
202	12	2	8	47.00648784637451	1.0	0.00016	0.00025
203	12	20	19	15.905976295471191	1.0	0.0003198933688770405	0.0004998333888703758
204	12	4	1	27.795910835266113	4.0	0.00016	0.00021333333333333333
205	12	4	3	50.25053024291992	2.0	0.00032	0.0004444444444444445
206	12	3	4	50.25053024291992	2.0	0.00032	0.0004444444444444445
207	12	8	2	47.00648784637451	1.0	0.00016	0.00025
208	13	5	6	13.146042823791504	0.0	0.0003198933688770412	0.0004049283150342293
209	13	5	7	43.29514503479004	0.0	0.0003198933688770412	0.0005923951275500762
210	13	6	5	13.146042823791504	0.0	0.0003198933688770412	0.0004049283150342293
211	13	6	9	46.11086845397949	3.0	0.0003198933688770412	0.00035153117459015514
212	13	1	4	28.160572052001953	4.0	0.00031978680879413693	0.00042638241172551593
213	13	1	7	34.02423858642578	4.0	0.0003198933688770412	0.0003763451398553426
214	13	9	6	46.11086845397949	3.0	0.0003198933688770412	0.00035153117459015514
215	13	19	20	16.01433753967285	1.0	0.00015994668443852024	0.0002499166944351879
216	13	7	1	34.02423858642578	4.0	0.0003198933688770412	0.0003763451398553426
217	13	7	5	43.29514503479004	0.0	0.0003198933688770412	0.0005923951275500762
218	13	2	8	47.07181453704834	1.0	0.00031978680879413693	0.0004996668887408389
219	13	20	19	16.01433753967285	1.0	0.00015994668443852024	0.0002499166944351879
220	13	4	1	28.160572052001953	4.0	0.00031978680879413693	0.00042638241172551593
221	13	4	3	50.0410795211792	2.0	0.00015989340439706847	0.00022207417277370618
222	13	3	4	50.0410795211792	2.0	0.00015989340439706847	0.00022207417277370618
223	13	8	2	47.07181453704834	1.0	0.00031978680879413693	0.0004996668887408389
224	14	5	6	12.85862922668457	0.0	0.0003198933688770405	0.00040492831503422845
225	14	5	7	42.586326599121094	0.0	0.00031978680879413693	0.0005921977940632166
